date,message
2022-09-30 06:09:06+00:00,tis tis likely seal deal bone launch bones g network
2022-09-30 06:09:05+00:00,metals china september official mi manufacturing mi est pre nonmanufacturing mi est pre composite pm pre
2022-09-30 06:09:05+00:00,went join fifty today three cement index
2022-09-30 03:19:22+00:00,reserve bank likely lower economic growth estimates reserve bank india likely cut estimate gdp growth percent set april downgrade also due lowerthanexpected gdp growth apriljune quarter indians economy grew percent june quarter sharply central banks forecast percent first instance official gdp figures came lower projections past quarters gdp growth fallen short ribs prediction times according mint analysis
2022-09-30 03:17:54+00:00,prices daily essentials households increased percent prices daily groceries oil rice hair oils risen percent percent since january commodity rates remained higher according retail analysis platform bosom impacted volume sales particularly rural markets dragging growth price likes norwood categories steep soap detergent prices percent
2022-09-30 03:17:05+00:00,indian equities decline seventh consecutive day foreign investors pull billion benchmark sense fifty fell seventh day longest losing streak seven months ahead key ratesetting meeting reserve bank india selloff global markets continued central bank expected raise policy rate percentage point sense dropped percent past seven trading days mainly due sustained selling foreign funds withdrawn billion domestic markets monthly buying tall turned negative september two months positive flows
2022-09-30 03:01:36+00:00,six fifty tends six fifty indicate negative opening broader index india loss points fifty future trading around levels singaporean exchange
2022-09-30 03:01:20+00:00,asia markets shares asiapacific traded lower friday last day third quarter following another selloff wall street overnight china factory activity data due later today
2022-09-30 03:01:08+00:00,us markets wall street ended sharply lower thursday worries us federal reserves aggressive fight inflation could gobble us economy investors fretted rout global currency debt markets teach heavyweights apple india corps sleeping nasal sank near lowest level set midjune
2022-09-30 02:58:35+00:00,bank mexico raises overnight rate bus
2022-09-30 02:58:35+00:00,put calls unprecedented sabotage word stream gas pipelines act international terrorist kremlin
2022-09-30 02:58:35+00:00,us imposes oil sanction chinese firms accuses helping ran use india long long firms also sanctioned
2022-09-30 02:58:35+00:00,vodaidea co gives clarification news article clear dues lose tower access nidus towers vodafone idea co inform nidus towers limited one large vendor provides passive infrastructure services company company discussion nidus softer payment terms continuing concluded yet
2022-09-30 02:58:34+00:00,company issue equity shares texas network saankhya laws shareholder holding equity shares using swap ratio shares texas network shares saankhya laws proposed amalgamation expand tears tireless offerings adding saankhya laws g open ran ran g cellular broadcast satellite communication products addition enhancing company expertise tables semiconductor chip design
2022-09-30 02:58:34+00:00,texas network co says view consolidate merge operations saankhya laws subsidiary saankhya strategic electronics private limited saankhya strategic company board directors texas network approved scheme amalgamation approved process
2022-09-29 15:58:30+00:00,roi like rates th sept update less liquidity banks cost borrowing rise bank well business first wave fall slow nd wave speedy first wave fall indian stocks
2022-09-29 15:58:30+00:00,indian face sector safe invest crude fall till oct russian embargo start supply crude gas fall open meeting oct decide reducing crude supply india already bought x price compared last year
2022-09-29 15:58:30+00:00,inflation falls interest rates inflators market prices rates inflation rates might cross least lot hiding coming worst europe come winter begins bc gas less expensive
2022-09-29 15:58:30+00:00,things need understand without doubts stock market never made bottom interest rates stops rising us year home mortgage rates compared jan housing collapse us fed stops hiding rates inflation
2022-09-29 15:11:19+00:00,indeginiously designed developed light combat helicopter ch induced indian army first ch formally handed director general army aviation corps significantly enhance combat capability indian army
2022-09-29 15:11:19+00:00,ports co incorporated subsidiary namely aviation feels limited th september carry business pouring transporting supplying trading aviation related feels constructing developingmanaging maintaining building equip hiring infrastructure related business within outside india
2022-09-29 15:11:19+00:00,ix central electricity regulatory commission extends per unit price cap market segments power exchanges till dec note terms earlier order lowering price cap per unit per unit force till september
2022-09-29 15:11:19+00:00,see went sources cnbctv zeesony merger hearing inconclusive see sonya asked make written submission ici
2022-09-29 15:11:19+00:00,railed board approved scheme amalgamation subsidiary raiitel enterprises limited red co
2022-09-29 15:11:18+00:00,us bless claims k k see survey k us see week continuing claims k
2022-09-29 15:11:18+00:00,south says north fired missile toward eastern waters third round launched week reports
2022-09-29 15:11:18+00:00,serf continuation cos update th january informing boards approval project set dedicated facility produce tea p dahe estimated cost cross hereby informed project commissioned capitalized th september aggregate cost
2022-09-29 15:11:18+00:00,data come data communications launched private g global centre excellence india private g trials underway india enabling digital transformation enterprises power g
2022-09-29 15:11:17+00:00,banks beads godfrey properties pancras beads wants purchase flat guest house meeting purposes th floor situated south estate delhi godfrey properties total cost amounting approve core installment basis
2022-09-29 15:11:17+00:00,mayor uniquoters board meet oct consider approve related party transactions generalusual routine business matters brought board kind consent chair
2022-09-29 15:11:17+00:00,power ici competition commission india approved acquisition power share capital diligent power power
2022-09-29 15:11:17+00:00,iron iron commissioned hajipur bachhwara doubling project co completed commissioning doubling work hajipur bachhwara route km including electrification th september iron appointed east central railways work
2022-09-29 15:11:16+00:00,hero hero motocorp charges electric ride plans collaborate zero motorcycles company board also approved equity investment us million zero motorcycles
2022-09-29 15:11:16+00:00,ran co awarded contract construction lane highway samarlakota achampeta junction km national highways authority india part kakinada port conductivity state anthrax trades bharatmala pariyojana etc mode total awarded cost core
